,localisation,prix_annonce,date_pub,m2,pieces,chambres,lien,text_annonce,floatm2,eta,Loyer estimé,Prix/m2
63,1,715000,2017-12-02 00:00:00,48,2.0,1.0,http://www.explorimmo.com/annonce-14404247.html,"APPARTEMENT 1 CHAMBRE - PLACE MARCHE ST HONORE - PARIS 1 Situé à proximité de la place du marché St Honoré, dans une rue calme, appartement...",48.0,1.0,1731.0,14895.833333333334
64,1,1355000,2017-12-01 00:00:00,115,5.0,3.0,http://www.explorimmo.com/annonce-14388639.html,"PARIS II - ETIENNE MARCEL - LUMINEUX - PARQUET, MOULURES CHEMINÉES. Welmo vous présente ce bien situé au coeur de Paris au 4ème étage...",115.0,4.0,3200.0,11782.608695652174
65,1,550000,2017-12-01 00:00:00,47,3.0,2.0,http://www.explorimmo.com/annonce-14388241.html,"A 2 pas de la place des victoires, un appartement 2/3 pièces de 38.06m² (64.76m² au sol) comprenant un grand séjour très lumineux...",47.0,4.0,2800.0,11702.127659574468
69,1,378000,2017-11-24 00:00:00,"34,45",2.0,1.0,http://www.explorimmo.com/annonce-14287011.html,"Dans le 1er arrondissement de Paris, Rue Etienne Marcel. Ligne directe 01.53.00.98.98- Très belle VUE DEGAGEE, LUMIERE. Beau 2 pièces...",34.45,2.0,1790.0,10972.42380261248
70,1,1370000,2017-11-20 00:00:00,108,2.0,1.0,http://www.explorimmo.com/annonce-14103461.html,"Près du Louvre, aux 3ème et 4ème (derniers) étages sur cour sans ascenseur d'un immeuble ancien, un duplex lumineux de 107 m² au sol...",108.0,3.0,6500.0,12685.185185185184
71,1,690000,2017-11-17 00:00:00,"49,12",3.0,2.0,http://www.explorimmo.com/annonce-14214599.html,"Situé au 6ème et dernier étage avec ascenseur d'un bel immeuble en pierre de taille aux parties communes parfaitement tenues, appartement...",49.12,4.0,2000.0,14047.231270358307
72,1,900000,2017-11-15 00:00:00,"70,8",3.0,2.0,http://www.explorimmo.com/annonce-14184101.html,"IDEAL PIED A TERRE Dans un immeuble de standing, appartement en duplex au dernier étage (6/7) avec ascenseur. Au 1er niveau, entrée,...",70.8,4.0,3800.0,12711.864406779661
73,1,735000,2017-11-13 00:00:00,48,1.0,0.0,http://www.explorimmo.com/annonce-13816839.html,"Dans un immeuble XVIIème au 3ème avec ascenseur dans un esprit loft de 48m² carrez, grand séjour volume, avec un coin chambre, cuisine...",48.0,3.0,2675.0,15312.5
74,1,690000,2017-11-10 00:00:00,"49,12",3.0,2.0,http://www.explorimmo.com/annonce-14135291.html,"Coeur de Paris (75001), tout proche de la Canopée et du quartier Montorgueil . Ligne directe 01 53 00 98 98. Dans un bel immeuble...",49.12,4.0,2000.0,14047.231270358307
75,1,1365000,2017-11-08 00:00:00,78,2.0,1.0,http://www.explorimmo.com/annonce-14112337.html,"APPARTEMENT DE PRESTIGE 1 CHAMBRE - RUE CAMBON - 75001 PARIS Situé rue Cambon, appartement calme et lumineux donnant sur une cour...",78.0,1.0,3500.0,17500.0
76,1,1050000,2017-10-31 00:00:00,70,3.0,2.0,http://www.explorimmo.com/annonce-14020377.html,"APPARTEMENT 2 CHAMBRES - MARCHE SAINT HONORE - PARIS 1 EXCLUSIVITE. Situé à proximité du Marché Saint Honoré, appartement rénové,...",70.0,3.0,3800.0,15000.0
